identifier	MiMoText_ID	Wikidata_ID
Micromegas_Voltaire	https://data.mimotext.uni-trier.de/wiki/Item:Q1011	https://www.wikidata.org/wiki/Q1785978
Naufrage_Morelly	https://data.mimotext.uni-trier.de/wiki/Item:Q1012	
Nuit_Crebillon	https://data.mimotext.uni-trier.de/wiki/Item:Q1015	https://www.wikidata.org/wiki/Q30738391
Fanni_Riccoboni	https://data.mimotext.uni-trier.de/wiki/Item:Q1016	
Candide_Voltaire	https://data.mimotext.uni-trier.de/wiki/Item:Q1022	https://www.wikidata.org/wiki/Q215894
Emile_Rousseau	https://data.mimotext.uni-trier.de/wiki/Item:Q1027	https://www.wikidata.org/wiki/Q913599
Belisaire_Marmontel	https://data.mimotext.uni-trier.de/wiki/Item:Q1033	https://www.wikidata.org/wiki/Q5005038
Ecus_Voltaire	https://data.mimotext.uni-trier.de/wiki/Item:Q1035	https://www.wikidata.org/wiki/Q3203608
L'An_Mercier	https://data.mimotext.uni-trier.de/wiki/Item:Q1039	https://www.wikidata.org/wiki/Q82530
Diable_Cazotte	https://data.mimotext.uni-trier.de/wiki/Item:Q1040	https://www.wikidata.org/wiki/Q1994609
Incas_Marmontel	https://data.mimotext.uni-trier.de/wiki/Item:Q1048	https://www.wikidata.org/wiki/Q106889862
Liaisons_Laclos	https://data.mimotext.uni-trier.de/wiki/Item:Q1053	https://www.wikidata.org/wiki/Q862050
Adele_Genlis	https://data.mimotext.uni-trier.de/wiki/Item:Q1054	
Galatee_Florian	https://data.mimotext.uni-trier.de/wiki/Item:Q1057	
Pervertie_Retif	https://data.mimotext.uni-trier.de/wiki/Item:Q1065	
Caliste_Charriere	https://data.mimotext.uni-trier.de/wiki/Item:Q1066 / Q2240	https://www.wikidata.org/wiki/Q19136090
Rideau_Mirabeau	https://data.mimotext.uni-trier.de/wiki/Item:Q1069	https://www.wikidata.org/wiki/Q19198685
Amours_Couvray	https://data.mimotext.uni-trier.de/wiki/Item:Q1077	https://www.wikidata.org/wiki/Q3230528
